[2022-07-26 12:18:18] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/ALFA_DATA
[2022-07-26 12:18:21] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/alfacgiapi
[2022-07-26 12:18:22] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/cgialfa
[2022-07-26 12:18:24] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/ALFA_DATA
[2022-07-26 12:18:26] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/alfacgiapi
[2022-07-26 12:18:27] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/cgialfa
[2022-07-26 12:18:29] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/ALFA_DATA
[2022-07-26 12:18:31] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/alfacgiapi
[2022-07-26 12:18:33] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/cgialfa
[2022-07-26 12:18:35] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/ALFA_DATA
[2022-07-26 12:18:38] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/alfacgiapi
[2022-07-26 12:18:41] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/cgialfa
[2022-07-26 12:18:45] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/ALFA_DATA
[2022-07-26 12:18:46] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/alfacgiapi
[2022-07-26 12:18:48] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/cgialfa
[2022-07-26 12:18:50] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/ALFA_DATA
[2022-07-26 12:18:53] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/alfacgiapi
[2022-07-26 12:18:55] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/cgialfa
[2022-07-26 12:18:58] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/ALFA_DATA
[2022-07-26 12:18:59] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/alfacgiapi
[2022-07-26 12:19:01] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/cgialfa
[2022-07-26 12:19:02] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/ALFA_DATA
[2022-07-26 12:19:04] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/alfacgiapi
[2022-07-26 12:19:05] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/cgialfa
[2022-07-26 12:19:09] ip: 192.187.100.10, OS: Unknown OS Platform, Brower: Handheld Browser, path: /index.php?3x=3x
