[2022-12-04 03:53:40] ip: 66.249.79.32, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-12-04 04:20:29] ip: 66.249.79.32, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-12-04 04:20:29] ip: 66.249.79.58, OS: Android, Brower: Handheld Browser, path: /
[2022-12-04 05:25:10] ip: 66.249.79.58, OS: Android, Brower: Handheld Browser, path: /
[2022-12-04 09:27:11] ip: 209.141.55.120, OS: Mac OS X, Brower: Chrome, path: /
[2022-12-04 15:06:43] ip: 66.249.79.32, OS: Android, Brower: Handheld Browser, path: /
[2022-12-04 19:20:57] ip: 209.141.36.231, OS: Mac OS X, Brower: Chrome, path: /
[2022-12-04 19:20:58] ip: 209.141.55.120, OS: Mac OS X, Brower: Chrome, path: /
[2022-12-04 19:55:46] ip: 66.249.79.32, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-12-04 20:10:56] ip: 66.249.71.210, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-12-04 23:39:00] ip: 66.249.71.212, OS: Android, Brower: Handheld Browser, path: /
